Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10610808,koopfolder,"2023-07-11 07:32:26",1.00000,2,koopfolder
2,10620888,luckyJacks,"2023-06-29 07:12:47",1.00000,1,luckyjacks
3,10489813,"Jason Heesang Lee","2023-06-30 04:46:28",1.00000,2,jasonheesanglee
4,10596490,"Ritik Nipane","2023-06-30 05:14:24",1.00000,1,ritiknipane
5,10626314,"shionn j","2023-06-30 11:03:01",1.00000,3,shionnj
6,1695049,huaji1992,"2023-07-02 12:13:02",1.00000,4,huaji1992
7,10148032,"Wei Yang #3","2023-07-03 06:46:57",1.00000,6,weixyx
8,10635910,"Sahand Pourjavad","2023-07-03 07:53:08",1.00000,1,sp2012
9,4346555,"dmitriy motorin","2023-07-04 12:40:35",1.00000,2,dmitriymotorin
10,10644989,"Mikkel Fan","2023-07-06 20:57:28",1.00000,3,nicolaw8
11,10654340,"Naomie Allosse","2023-07-07 18:00:00",1.00000,1,naomieallosse
12,10655589,linhoward007,"2023-07-11 07:02:00",1.00000,4,linhoward007
13,10656232,waterharmonica,"2023-07-08 17:09:05",1.00000,2,waterharmonica
14,10659666,"zod bert","2023-07-09 18:55:12",1.00000,5,zodbert
15,10646924,"Karthik Sathiyaseelar","2023-07-09 19:56:04",1.00000,3,karthiksathiyaseelar
16,10660897,"Sufyan Dawnak","2023-07-10 06:34:21",1.00000,2,sufyandawnak
17,10662421,joshhomg,"2023-07-10 13:02:36",1.00000,3,joshhomg
18,10559597,"Ashmit Cajla","2023-07-14 07:30:31",1.00000,4,ashmitcajla
19,10632911,"Markus Darkus","2023-07-11 06:30:42",1.00000,9,markusdarkus
20,8683495,"💥Tesla, Inc.💥","2023-07-12 04:23:31",1.00000,1,alanjo
21,9756172,LINGWABG,"2023-07-13 11:00:04",1.00000,5,lingwabg
22,10678652,"Baljeet Singh #3","2023-07-13 17:02:42",1.00000,1,baljeetsingh17
23,9882507,MLCV,"2023-08-27 06:55:55",1.00000,36,computervisi
24,7904363,"Hanzhang Fang","2023-07-15 02:00:30",1.00000,3,hanzhangfang
25,9636988,njitcs677hf78,"2023-07-21 14:10:48",1.00000,11,njitcs677hf78
26,10671329,mark0347,"2023-07-16 03:02:55",1.00000,2,ouyangqianhe
27,10687873,"Nati Stotaw","2023-07-16 14:07:12",1.00000,8,natistotaw
28,10653501,"gaurav singh9422","2023-07-16 18:41:38",1.00000,17,gauravsingh9422
29,9160684,Nikel_Chieh,"2023-07-18 03:11:19",1.00000,1,nikelchieh
30,10686732,"[Deleted] 92a4f740-fd1e-411d-9649-83a4b1712eb6","2023-08-02 02:08:05",1.00000,9,del=a98468940dd37c99
31,10694487,"Sangkyu Kim","2023-07-20 07:15:34",1.00000,4,sangkyukim0703
32,10703968,Holmes0610,"2023-07-20 08:16:13",1.00000,1,holmes0610
33,10705042,"Juan Farrell","2023-07-21 02:48:07",1.00000,14,juanfarrellp
34,10707292,"Hello Koko","2023-08-14 10:13:17",1.00000,16,phamdongdongk16hcm
35,10711417,"Benjamin Chen.","2023-07-22 11:14:22",1.00000,3,benjaminchen1024
36,10653033,"YY #3","2023-07-23 01:18:48",1.00000,3,mizutaniyusuke
37,10694875,"Ralph Samuel Lacambra","2023-08-02 08:34:28",1.00000,75,ralphsamuellacambra
38,10711998,Marquis03,"2023-08-18 00:22:06",1.00000,12,marquis03
39,5013751,"Vivo Vinco","2023-07-24 20:09:29",1.00000,1,vivovinco
40,10719859,"Khoi Do","2023-07-25 00:28:54",1.00000,4,khoido
41,10680229,yyjacob,"2023-07-25 03:31:26",1.00000,2,yyjacob
42,10720743,OctoVern,"2023-07-25 05:09:48",1.00000,1,octovern
43,5475897,"Batur Gezici","2023-07-25 14:25:02",1.00000,2,baturgezici
44,10724194,"Misbah ul Iman","2023-07-26 01:54:03",1.00000,3,arlinx
45,10724811,black_ducan,"2023-07-26 07:00:43",1.00000,5,blackducan
46,10723635,"Toluwani Olukanni","2023-07-26 19:37:58",1.00000,3,toluwaniolukanni
47,8925757,"Shivam Tyagi #3","2023-07-27 13:38:34",1.00000,6,shivamtyagiofficial
48,10401748,"Micro Daze","2023-07-31 16:30:29",1.00000,17,microdaze
49,10742925,"Wang Nailin","2023-07-31 18:39:08",1.00000,3,wangnailin
50,9343098,rabbie,"2023-08-02 10:22:29",1.00000,2,larjeck
51,10752540,DatDo2711,"2023-08-02 15:40:18",1.00000,5,datdo2711
52,10742984,"Jinru Sui","2023-08-03 03:01:29",1.00000,2,jinrusui
53,10742378,"Le Van Tra K16_HCM","2023-08-14 09:24:24",1.00000,17,levantrak16hcm
54,10696601,"Mark Fedio","2023-08-03 20:11:26",1.00000,12,markfedio
55,10758454,biubiu123,"2023-08-04 01:39:53",1.00000,2,biubiu123
56,10759870,"fish star","2023-08-21 07:02:59",1.00000,2,fishstarssd
57,10657132,"Igor Zimermann","2023-08-05 08:18:28",1.00000,5,igorbfzimermann
58,4085251,"sean #2","2023-08-07 19:15:16",1.00000,2,shanruocheng
59,10759387,"youxun zhang","2023-08-08 07:42:07",1.00000,10,youxunzhang
60,10075802,"Andrew Bakradze","2023-08-08 11:39:20",1.00000,1,andrewbakradze
61,10756444,"Aswin Jose","2023-08-13 14:03:37",1.00000,23,aswinjose
62,10777904,Striker241964,"2023-08-09 08:10:53",1.00000,1,striker715
63,10779010,"Brendan Covell","2023-08-09 18:36:38",1.00000,4,brendancovell
64,10726534,"susa xu","2023-08-10 14:23:54",1.00000,2,susaxu
65,10531038,Vijay.Joshi.17,"2023-08-12 08:14:28",1.00000,2,vijayjoshi17
66,10775382,"Omikumar Makadia","2023-08-12 15:19:29",1.00000,2,omikumarmakadia2121
67,10790259,GWCTCHS,"2023-08-12 22:15:03",1.00000,1,gwctchs
68,10791252,"Madhvendrasinh Jhala","2023-08-13 08:41:34",1.00000,1,madhvendrasinhjhala
69,10791288,"Vatsal Patel #5","2023-08-13 08:55:53",1.00000,1,vatsaldp8
70,10692291,"Mehrdad Zarepoor","2023-08-13 09:08:45",1.00000,44,mehrdadzarepoor
71,10642743,hans_gz,"2023-08-14 03:00:02",1.00000,3,hansgz
72,4211481,Somesh007,"2023-08-14 04:23:54",1.00000,1,somesh007
73,10745569,BruceCheng921,"2023-08-15 21:55:58",1.00000,4,brucecheng921
74,10801328,"umer rtx","2023-08-16 05:45:41",1.00000,1,umerrtx
75,9701314,Jean-ken,"2023-08-16 07:46:10",1.00000,7,jeanken
76,9165340,"Hiroshi Goya","2023-08-16 17:08:16",1.00000,1,hiroshigoya
77,10806796,"Aashi kotiya","2023-08-18 01:25:26",1.00000,3,aashikotiya
78,10786480,"Ishitha Agnes","2023-08-18 06:21:51",1.00000,2,ishithaagnes
79,10809644,ChoccyCorgi,"2023-08-18 15:19:57",1.00000,1,choccycorgi
80,10810717,"Sandi Hermawan #2","2023-08-19 03:04:17",1.00000,2,sandihermawan13
81,10811093,Jin_BioLancer_5921,"2023-08-19 09:42:32",1.00000,5,jinbiolancer5921
82,10813892,"Ozan #2","2023-08-20 09:52:20",1.00000,2,ozansabirlioglu
83,8237474,"Huang Junjie","2023-08-25 04:36:21",1.00000,5,hcnclean
84,10433614,"hirokazu seki","2023-08-21 22:16:37",1.00000,1,hirokazuseki
85,4759432,"Gaurav Srivastava (gk)","2023-08-22 23:18:55",1.00000,1,scipygaurav
86,10804374,DeShuiYu,"2023-08-23 13:52:44",1.00000,5,deshuiyu
87,10830188,"Fernanda Torres1","2023-08-24 16:09:15",1.00000,2,fernandatorres1
88,10830238,"Pratik Pawar #2","2023-08-24 16:10:47",1.00000,1,pratikpawar85
89,10830332,"Gabe #5","2023-08-24 16:45:37",1.00000,1,frizmo
90,10830360,Svanson_n,"2023-08-24 16:54:15",1.00000,1,svansonn
91,10832568,Jiazhen_Wang_Bruce,"2023-08-25 09:36:00",1.00000,1,jiazhenwangbruce
92,10833401,Vanss_n,"2023-08-25 15:12:33",1.00000,1,vanssn
93,10630120,"Ali ArjOrg","2023-08-27 05:50:58",1.00000,12,aliarjorg
94,10836802,DataLudenz,"2023-08-26 22:18:45",1.00000,1,ugursaricam
95,10651886,張　家赫,"2023-07-12 00:29:26",0.99760,8,gnahzooooo
96,9157659,EfAnt,"2023-07-30 11:45:46",0.99760,5,antefimov
97,10760687,Kaniol,"2023-08-04 14:57:37",0.99760,3,kaniol
98,6345362,"Reza Nematpour","2023-08-06 04:34:21",0.99760,1,rezanematpour
99,10797058,xinzhao525633,"2023-08-15 13:53:02",0.99760,10,"qyyyyyx,xinzhao525633"
100,10656832,"xiao yuinn","2023-07-10 11:06:28",0.98803,10,xiaoyuinn
101,10386194,"Kay Kong","2023-08-01 02:17:47",0.98803,13,lingyangkaykong
